Station,Year,Month,High temp,Low temp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Barisal,1998,4,32.9,22.5,0,0,0,0,0,0,74,6,23,2,0,0,0,0,0,0,0,0,15,1,10,0,52,46,0,0,0,0,22,0,
Barisal,1998,5,33.7,24.5,0,0,0,5,0,33,12,0,0,0,5,0,0,0,0,0,1,0,0,9,3,0,0,0,21,2,80,3,0,5,0
Barisal,1998,6,32.8,25.8,7,0,0,6,0,0,0,0,0,0,0,0,0,11,6,33,5,35,0,13,1,3,2,33,3,15,29,0,6,0,
Barisal,1998,7,30.9,25.1,5,5,29,58,46,19,4,7,2,4,41,142,31,46,39,33,15,0,0,8,3,18,4,36,6,4,0,1,7,3,0
Barisal,1998,8,31.1,25.2,0,9,42,13,15,96,1,27,0,5,22,41,22,60,47,38,23,1,21,0,0,0,2,0,6,2,2,0,0,6,15
Barisal,1998,9,32.2,25.2,8,1,0,0,26,2,1,16,21,60,14,8,10,0,0,0,10,0,0,2,8,3,0,0,0,0,0,58,6,0,
Barisal,1998,10,32.7,24.8,10,6,3,0,0,0,0,0,0,0,0,2,0,0,0,21,15,0,10,0,16,0,0,0,0,0,0,0,0,4,2
Barisal,1998,11,31,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,251,1,0,0,0,0,0,0,
Barisal,1998,12,28.1,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,1999,1,26.5,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,1999,2,30.3,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Barisal,1999,3,34.2,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
